adm_code,big_region,small_region,longitude,latitude
4139000000,경기도,시흥시,126.8050778,37.37731944
4141000000,경기도,군포시,126.9375,37.35865833
4143000000,경기도,의왕시,126.9703889,37.34195
4145000000,경기도,하남시,127.217,37.53649722
4146100000,경기도,용인시 처인구,127.2038444,37.23147778
4146300000,경기도,용인시 기흥구,127.1167889,37.27759722
4146500000,경기도,용인시 수지구,127.1000972,37.31938611
4148000000,경기도,파주시,126.7819528,37.75708333
4150000000,경기도,이천시,127.4432194,37.27543611
4155000000,경기도,안성시,127.2818444,37.005175
4157000000,경기도,김포시,126.7177778,37.61245833
4159000000,경기도,화성시,126.8335306,37.19681667
4161000000,경기도,광주시,127.2577861,37.41450556
4163000000,경기도,양주시,127.0478194,37.78245
4165000000,경기도,포천시,127.2024194,37.89215556
4167000000,경기도,여주시,127.6396222,37.29535833
4180000000,경기도,연천군,127.0770667,38.09336389
4182000000,경기도,가평군,127.5117778,37.82883056
4183000000,경기도,양평군,127.4898861,37.48893611
4200000000,강원도,,127.731975,37.88269167
4211000000,강원도,춘천시,127.7323111,37.87854167
4213000000,강원도,원주시,127.9220556,37.33908333
4215000000,강원도,강릉시,128.8784972,37.74913611
4217000000,강원도,동해시,129.1166333,37.52193056
4219000000,강원도,태백시,128.9879972,37.16122778
4221000000,강원도,속초시,128.5941667,38.204275
4223000000,강원도,삼척시,129.1674889,37.44708611
4272000000,강원도,홍천군,127.8908417,37.69442222
4273000000,강원도,횡성군,127.9872222,37.48895833
4275000000,강원도,영월군,128.4640194,37.18086111
4276000000,강원도,평창군,128.3923528,37.36791667
4277000000,강원도,정선군,128.6630861,37.37780833
4278000000,강원도,철원군,127.3157333,38.14405556
4279000000,강원도,화천군,127.7103556,38.10340833
4280000000,강원도,양구군,127.9922444,38.10729167
4281000000,강원도,인제군,128.1726972,38.06697222
4282000000,강원도,고성군,128.4701639,38.37796111
4283000000,강원도,양양군,128.6213556,38.07283333
4300000000,충청북도,,127.4935861,36.6325
4311100000,충청북도,청주시 상당구,127.5117306,36.58399722
4311200000,충청북도,청주시 서원구,127.4832889,36.63726111
4311300000,충청북도,청주시 흥덕구,127.3594194,36.6182
